base_name,noise,snr,accuracy
ch1_1462-170142-0017.gzip,white,18,98.61111111111111
ch1_251-137823-0025.gzip,pink,12,98.24561403508773
ch1_1462-170138-0022.gzip,office,18,97.66839378238342
ch1_1462-170138-0022.gzip,office,12,97.66839378238342
ch1_1462-170138-0022.gzip,white,18,97.40932642487047
ch1_1462-170138-0022.gzip,pink,18,97.40932642487047
ch1_251-137823-0025.gzip,office,12,97.36842105263158
ch1_251-137823-0025.gzip,office,18,97.36842105263158
ch1_1462-170142-0017.gzip,white,24,97.22222222222223
ch1_1462-170142-0017.gzip,pink,18,97.22222222222223
ch1_1462-170142-0017.gzip,pink,24,97.22222222222223
ch1_1462-170138-0022.gzip,white,12,97.15025906735751
ch1_1462-170138-0022.gzip,white,24,97.15025906735751
ch1_251-137823-0025.gzip,white,12,96.9298245614035
ch1_251-137823-0025.gzip,white,18,96.9298245614035
ch1_1462-170138-0022.gzip,pink,24,96.6321243523316
ch1_1462-170142-0017.gzip,office,24,96.52777777777777
ch1_1462-170142-0017.gzip,car80,24,96.52777777777777
ch1_1462-170142-0017.gzip,white,12,96.52777777777777
ch1_1462-170142-0017.gzip,white,6,96.52777777777777
ch1_1462-170142-0017.gzip,pink,12,96.52777777777777
ch1_251-137823-0025.gzip,pink,18,96.49122807017544
ch1_251-137823-0025.gzip,white,6,96.49122807017544
ch1_1462-170138-0022.gzip,office,24,96.37305699481865
ch1_251-137823-0025.gzip,office,24,96.05263157894737
ch1_1988-24833-0019.gzip,white,18,95.85798816568047
ch1_1462-170138-0022.gzip,office,6,95.85492227979275
ch1_1462-170142-0017.gzip,office,18,95.83333333333333
ch1_1462-170142-0038.gzip,white,12,95.7095709570957
ch1_251-137823-0025.gzip,pink,24,95.6140350877193
ch1_1462-170142-0038.gzip,pink,18,95.37953795379538
ch1_1462-170138-0022.gzip,pink,12,95.33678756476684
ch1_251-137823-0025.gzip,pink,6,95.17543859649123
ch1_1462-170142-0017.gzip,office,12,95.13888888888889
ch1_1462-170142-0017.gzip,car80,18,95.13888888888889
ch1_1462-170142-0017.gzip,wind,12,95.13888888888889
ch1_1462-170138-0022.gzip,white,6,94.81865284974093
ch1_1462-170142-0017.gzip,Quiet,0,94.44444444444444
ch1_1462-170142-0038.gzip,white,6,94.38943894389439
ch1_1462-170138-0022.gzip,car80,18,94.30051813471502
ch1_1988-24833-0019.gzip,white,6,94.0828402366864
ch1_1988-24833-0019.gzip,pink,18,94.0828402366864
ch1_251-137823-0025.gzip,white,0,93.85964912280701
ch1_1462-170138-0022.gzip,car80,24,93.78238341968913
ch1_1462-170142-0017.gzip,wind,6,93.75
ch1_1462-170138-0022.gzip,car80,12,93.52331606217616
ch1_1993-147965-0000.gzip,white,12,93.4065934065934
ch1_1462-170142-0038.gzip,white,18,93.3993399339934
ch1_2086-149220-0027.gzip,pink,18,93.20754716981132
ch1_7850-281318-0000.gzip,white,6,93.07692307692308
ch1_7850-281318-0000.gzip,white,12,93.07692307692308
ch1_251-137823-0025.gzip,white,24,92.98245614035088
ch1_1988-24833-0019.gzip,pink,24,92.89940828402366
ch1_1988-24833-0019.gzip,white,12,92.89940828402366
ch1_2086-149220-0027.gzip,white,18,92.83018867924528
ch1_251-137823-0025.gzip,office,6,92.54385964912281
