base_name,noise,snr,accuracy
ch1_1462-170138-0022.gzip,white,12,98.44559585492227
ch1_251-137823-0025.gzip,office,6,98.24561403508773
ch1_1462-170138-0022.gzip,office,12,98.18652849740933
ch1_1462-170138-0022.gzip,white,6,98.18652849740933
ch1_1462-170142-0038.gzip,white,6,97.6897689768977
ch1_1462-170138-0022.gzip,pink,18,97.40932642487047
ch1_1462-170138-0022.gzip,office,18,97.40932642487047
ch1_1462-170142-0017.gzip,pink,12,97.22222222222223
ch1_1462-170142-0017.gzip,pink,6,97.22222222222223
ch1_1462-170142-0017.gzip,white,6,97.22222222222223
ch1_1462-170142-0017.gzip,car80,18,97.22222222222223
ch1_1462-170142-0017.gzip,white,12,97.22222222222223
ch1_1462-170138-0022.gzip,white,18,97.15025906735751
ch1_251-137823-0025.gzip,white,6,96.9298245614035
ch1_1462-170138-0022.gzip,pink,12,96.6321243523316
ch1_1462-170142-0017.gzip,wind,12,96.52777777777777
ch1_1462-170142-0017.gzip,car80,24,96.52777777777777
ch1_1462-170142-0017.gzip,pink,18,96.52777777777777
ch1_1462-170138-0022.gzip,office,24,96.37305699481865
ch1_1462-170138-0022.gzip,white,24,96.37305699481865
ch1_251-137823-0025.gzip,white,0,96.05263157894737
ch1_251-137823-0025.gzip,office,12,96.05263157894737
ch1_251-137823-0025.gzip,pink,6,96.05263157894737
ch1_1462-170142-0038.gzip,white,12,96.03960396039604
ch1_1462-170138-0022.gzip,pink,24,95.85492227979275
ch1_1462-170142-0017.gzip,white,24,95.83333333333333
ch1_1462-170142-0017.gzip,white,0,95.83333333333333
ch1_1462-170142-0017.gzip,pink,24,95.83333333333333
ch1_1462-170142-0017.gzip,white,18,95.83333333333333
ch1_251-137823-0025.gzip,pink,12,95.6140350877193
ch1_1462-170142-0017.gzip,office,6,95.13888888888889
ch1_251-137823-0025.gzip,white,12,94.73684210526316
ch1_1988-24833-0019.gzip,pink,12,94.67455621301775
ch1_1462-170138-0022.gzip,office,6,94.55958549222798
ch1_1462-170142-0017.gzip,office,12,94.44444444444444
ch1_1462-170142-0017.gzip,wind,18,94.44444444444444
ch1_7850-286674-0002.gzip,white,0,94.10112359550561
ch1_1462-170142-0038.gzip,pink,12,94.05940594059406
ch1_1462-170142-0017.gzip,car80,12,93.75
ch1_1462-170138-0022.gzip,white,0,93.52331606217616
ch1_1462-170138-0022.gzip,car80,18,93.52331606217616
ch1_1988-24833-0019.gzip,white,6,93.49112426035504
ch1_251-137823-0025.gzip,pink,18,93.42105263157895
ch1_7976-105575-0004.gzip,pink,12,93.33333333333333
ch1_1462-170142-0017.gzip,wind,6,93.05555555555556
ch1_1462-170142-0017.gzip,office,18,93.05555555555556
ch1_1462-170142-0017.gzip,office,0,93.05555555555556
ch1_1462-170142-0017.gzip,office,24,93.05555555555556
ch1_1993-147965-0000.gzip,white,12,93.04029304029304
ch1_251-137823-0025.gzip,car80,6,92.98245614035088
ch1_7850-286674-0002.gzip,pink,6,92.97752808988764
ch1_1462-170142-0038.gzip,pink,18,92.73927392739274
ch1_251-137823-0025.gzip,office,0,92.54385964912281
ch1_7976-105575-0004.gzip,white,6,92.53333333333333
ch1_1462-170138-0022.gzip,car80,24,92.48704663212435
ch1_1462-170138-0022.gzip,pink,6,92.48704663212435
ch1_1462-170142-0038.gzip,white,18,92.40924092409242
ch1_1993-147965-0000.gzip,white,6,92.3076923076923
ch1_1988-24833-0019.gzip,white,12,92.3076923076923
ch1_7850-281318-0000.gzip,white,6,92.3076923076923
ch1_251-137823-0025.gzip,pink,0,92.10526315789474
ch1_251-137823-0025.gzip,car80,0,92.10526315789474
ch1_2086-149220-0027.gzip,white,12,92.0754716981132
ch1_7976-105575-0004.gzip,office,6,92.0
ch1_1462-170138-0022.gzip,car80,12,91.96891191709845
ch1_1993-147965-0000.gzip,pink,12,91.94139194139194
ch1_7850-281318-0000.gzip,pink,12,91.92307692307692
ch1_2078-142845-0007.gzip,pink,24,91.82098765432099
ch1_2428-83699-0018.gzip,white,6,91.74107142857143
ch1_7976-105575-0004.gzip,office,12,91.73333333333333
ch1_1988-24833-0019.gzip,pink,18,91.71597633136095
ch1_1988-24833-0019.gzip,white,18,91.71597633136095
ch1_2086-149220-0027.gzip,pink,12,91.69811320754717
ch1_2086-149220-0027.gzip,white,6,91.69811320754717
ch1_7976-105575-0004.gzip,pink,6,91.46666666666667
ch1_1462-170142-0038.gzip,white,0,91.41914191419141
ch1_251-137823-0025.gzip,office,18,91.2280701754386
ch1_251-137823-0025.gzip,white,18,91.2280701754386
ch1_2078-142845-0007.gzip,white,12,91.20370370370371
ch1_7850-281318-0000.gzip,white,0,91.15384615384616
ch1_7850-281318-0000.gzip,white,12,91.15384615384616
ch1_2078-142845-0007.gzip,white,18,91.12654320987654
ch1_6241-61943-0021.gzip,office,0,91.0828025477707
ch1_2078-142845-0007.gzip,pink,18,91.04938271604938
ch1_7850-286674-0002.gzip,white,6,91.01123595505618
ch1_2086-149220-0027.gzip,pink,6,90.94339622641509
ch1_2086-149220-0027.gzip,pink,18,90.94339622641509
ch1_2086-149220-0027.gzip,white,18,90.94339622641509
ch1_251-137823-0025.gzip,car80,12,90.78947368421052
ch1_2428-83699-0018.gzip,pink,12,90.73660714285714
ch1_2078-142845-0007.gzip,pink,12,90.58641975308642
ch1_1993-147965-0000.gzip,pink,18,90.47619047619048
ch1_1993-147965-0000.gzip,white,18,90.47619047619048
ch1_2803-161169-0014.gzip,pink,6,90.45936395759718
ch1_7976-105575-0004.gzip,white,12,90.4
ch1_7850-281318-0000.gzip,pink,6,90.38461538461539
ch1_251-137823-0025.gzip,pink,24,90.35087719298245
ch1_1462-170142-0017.gzip,Quiet,0,90.27777777777777
ch1_2803-161169-0002.gzip,white,6,90.19607843137256
ch1_5694-64025-0010.gzip,white,12,90.08142116950407
ch1_251-137823-0025.gzip,white,24,89.91228070175438
ch1_2803-161169-0002.gzip,white,0,89.86928104575163
ch1_7976-105575-0004.gzip,pink,18,89.86666666666666
ch1_5694-64025-0010.gzip,white,6,89.85936343449296
ch1_2086-149220-0027.gzip,pink,24,89.81132075471699
ch1_6241-61943-0021.gzip,white,6,89.80891719745223
ch1_2078-142845-0007.gzip,white,24,89.73765432098766
ch1_2428-83699-0018.gzip,pink,6,89.73214285714286
ch1_7976-105575-0004.gzip,white,0,89.6
ch1_1462-170142-0017.gzip,wind,24,89.58333333333333
ch1_2803-161169-0002.gzip,pink,6,89.54248366013071
ch1_2078-142845-0007.gzip,office,12,89.42901234567901
ch1_2803-161169-0014.gzip,white,0,89.28150765606595
ch1_5694-64025-0010.gzip,white,18,89.26720947446336
ch1_6241-61943-0021.gzip,car80,6,89.171974522293
ch1_6241-61943-0021.gzip,office,6,89.171974522293
ch1_6241-61943-0021.gzip,pink,12,89.171974522293
ch1_251-137823-0006.gzip,white,24,89.11290322580645
ch1_1462-170142-0038.gzip,white,24,89.10891089108911
ch1_2078-142845-0007.gzip,office,18,89.04320987654322
ch1_1462-170138-0022.gzip,wind,12,88.860103626943
