loss,accuracy
0.67085654,67.44024
0.6210335,76.49888
0.72915536,61.06503
0.6360948,55.448845
0.47282198,75.802284
0.51607853,63.976295
0.58679706,76.60655
0.4937604,72.05489
0.52990353,70.50592
0.45040023,75.17281
0.55983925,65.35039
0.51632804,63.826645
0.5401634,57.029564
0.60894096,75.229
0.591597,80.67791
0.4860799,71.15475
0.4613502,74.00789
0.51493204,70.66857
0.41899204,79.87646
0.707673,66.595764
0.46916267,68.505035
0.53375846,88.1342
0.682758,56.241238
0.5783742,69.06761
0.56490254,75.238945
0.47819152,84.00618
0.44883424,77.091606
0.5486267,64.428795
0.5542151,72.27823
0.43953335,76.62476
0.6034258,54.071453
0.4319465,79.06224
0.38468,73.326614
0.3644092,84.08319
0.46299228,77.55433
0.49989197,73.38892
0.483243,74.16254
0.557258,75.03119
0.545904,72.298386
0.6361491,72.884636
0.49019688,66.14656
0.44364044,74.166435
0.42042452,80.46921
0.32410416,84.22719
0.5021424,67.0752
0.5100205,69.74251
0.44740555,76.66527
