base_name,noise,snr,accuracy
ch1_1462-170142-0017.gzip,pink,18,97.22222222222223
ch1_1462-170142-0017.gzip,white,12,97.22222222222223
ch1_251-137823-0025.gzip,white,6,96.9298245614035
ch1_1462-170142-0017.gzip,car80,18,96.52777777777777
ch1_1462-170142-0017.gzip,white,24,96.52777777777777
ch1_1462-170142-0017.gzip,pink,24,96.52777777777777
ch1_251-137823-0025.gzip,white,12,96.49122807017544
ch1_251-137823-0025.gzip,pink,12,96.05263157894737
ch1_1462-170142-0017.gzip,white,18,95.83333333333333
ch1_251-137823-0025.gzip,white,0,95.6140350877193
ch1_251-137823-0025.gzip,white,18,95.6140350877193
ch1_1462-170138-0022.gzip,white,18,95.5958549222798
ch1_251-137823-0025.gzip,pink,6,95.17543859649123
ch1_1462-170142-0017.gzip,car80,24,95.13888888888889
ch1_1462-170138-0022.gzip,white,12,95.07772020725389
ch1_1462-170138-0022.gzip,white,24,94.81865284974093
ch1_1462-170142-0017.gzip,white,6,94.44444444444444
ch1_1462-170142-0017.gzip,pink,12,94.44444444444444
ch1_1462-170142-0017.gzip,office,12,94.44444444444444
ch1_1462-170142-0038.gzip,white,12,94.38943894389439
ch1_251-137823-0025.gzip,pink,18,94.29824561403508
ch1_1462-170138-0022.gzip,pink,24,94.04145077720207
ch1_251-137823-0025.gzip,office,18,93.85964912280701
ch1_1462-170138-0022.gzip,pink,18,93.78238341968913
ch1_1462-170142-0017.gzip,office,18,93.75
ch1_1462-170142-0017.gzip,office,24,93.75
ch1_1462-170138-0022.gzip,office,12,93.52331606217616
ch1_1462-170138-0022.gzip,office,24,93.52331606217616
ch1_1462-170142-0038.gzip,white,18,93.3993399339934
ch1_1462-170138-0022.gzip,office,18,93.26424870466322
ch1_1462-170138-0022.gzip,white,6,93.26424870466322
ch1_1462-170142-0017.gzip,office,6,93.05555555555556
ch1_251-137823-0025.gzip,pink,24,92.98245614035088
ch1_251-137823-0025.gzip,office,12,92.98245614035088
ch1_1462-170138-0022.gzip,car80,18,92.74611398963731
ch1_251-137823-0025.gzip,office,6,92.54385964912281
ch1_1462-170142-0038.gzip,pink,18,92.40924092409242
ch1_1462-170142-0017.gzip,wind,6,92.36111111111111
ch1_251-137823-0006.gzip,white,24,92.33870967741936
ch1_1988-24833-0019.gzip,white,18,92.3076923076923
ch1_1462-170138-0022.gzip,car80,24,92.2279792746114
ch1_1462-170138-0022.gzip,pink,12,92.2279792746114
ch1_251-137823-0006.gzip,white,18,91.93548387096774
ch1_2078-142845-0007.gzip,pink,24,91.82098765432099
ch1_1462-170142-0038.gzip,white,6,91.74917491749174
ch1_1988-24833-0019.gzip,pink,18,91.71597633136095
ch1_1988-24833-0019.gzip,white,12,91.71597633136095
ch1_1462-170138-0022.gzip,office,6,91.70984455958549
ch1_1462-170142-0017.gzip,car80,12,91.66666666666667
ch1_1462-170142-0017.gzip,Quiet,0,91.66666666666667
ch1_251-137823-0025.gzip,office,24,91.66666666666667
ch1_7850-281318-0000.gzip,white,6,91.53846153846153
ch1_7850-281318-0000.gzip,white,12,91.53846153846153
ch1_2078-142845-0007.gzip,pink,18,91.51234567901234
ch1_1993-147965-0000.gzip,pink,18,91.20879120879121
ch1_251-137823-0006.gzip,pink,24,91.12903225806451
ch1_2078-142845-0007.gzip,white,18,91.12654320987654
ch1_1462-170142-0038.gzip,pink,24,91.08910891089108
ch1_7976-105575-0004.gzip,pink,12,90.93333333333334
ch1_1993-147965-0000.gzip,white,12,90.84249084249085
ch1_251-137823-0025.gzip,car80,6,90.78947368421052
ch1_7850-286674-0002.gzip,white,0,90.73033707865169
ch1_7976-105575-0004.gzip,white,12,90.66666666666667
ch1_2428-83699-0018.gzip,white,6,90.625
ch1_1988-24833-0019.gzip,white,6,90.53254437869822
ch1_1993-147965-0000.gzip,pink,24,90.47619047619048
ch1_7850-281318-0000.gzip,pink,12,90.38461538461539
ch1_7850-281318-0000.gzip,pink,18,90.38461538461539
ch1_251-137823-0025.gzip,white,24,90.35087719298245
ch1_251-137823-0006.gzip,white,12,90.3225806451613
ch1_1462-170142-0017.gzip,office,0,90.27777777777777
ch1_1462-170142-0017.gzip,white,0,90.27777777777777
ch1_2086-149220-0027.gzip,white,24,90.18867924528301
ch1_2086-149220-0027.gzip,pink,24,90.18867924528301
ch1_2428-83699-0018.gzip,pink,12,90.17857142857143
ch1_7976-105575-0004.gzip,pink,18,90.13333333333334
ch1_1993-147965-0000.gzip,white,24,90.10989010989012
ch1_251-137823-0025.gzip,car80,0,89.91228070175438
ch1_2078-142845-0007.gzip,white,24,89.89197530864197
ch1_7850-286674-0002.gzip,pink,6,89.88764044943821
ch1_7976-105575-0004.gzip,office,12,89.86666666666666
ch1_2086-149220-0027.gzip,white,18,89.81132075471699
ch1_1993-147965-0000.gzip,white,18,89.74358974358974
ch1_2428-83699-0018.gzip,white,12,89.73214285714286
ch1_5694-64025-0010.gzip,white,18,89.71132494448557
ch1_5694-64025-0010.gzip,white,12,89.71132494448557
ch1_2078-142845-0007.gzip,office,12,89.6604938271605
ch1_1462-170138-0022.gzip,white,0,89.63730569948187
ch1_7976-105575-0004.gzip,white,6,89.6
ch1_1462-170142-0017.gzip,pink,6,89.58333333333333
ch1_1462-170142-0017.gzip,wind,12,89.58333333333333
ch1_5694-64025-0010.gzip,pink,18,89.48926720947446
ch1_1462-170142-0038.gzip,white,24,89.43894389438944
ch1_1462-170138-0022.gzip,pink,6,89.37823834196891
ch1_2078-142845-0007.gzip,office,6,89.35185185185185
ch1_5694-64025-0010.gzip,white,24,89.26720947446336
ch1_2078-142845-0007.gzip,white,12,89.19753086419753
ch1_5694-64025-0010.gzip,pink,24,89.11917098445596
ch1_251-137823-0006.gzip,pink,18,89.11290322580645
ch1_1462-170142-0038.gzip,office,12,88.77887788778878
ch1_1988-24833-0019.gzip,pink,12,88.75739644970415
ch1_1988-24833-0019.gzip,white,24,88.75739644970415
ch1_2086-149220-0027.gzip,pink,18,88.67924528301887
ch1_1993-147965-0000.gzip,white,6,88.64468864468864
ch1_1993-147965-0000.gzip,pink,12,88.64468864468864
ch1_1462-170138-0022.gzip,Quiet,0,88.60103626943005
ch1_2078-142845-0007.gzip,office,18,88.58024691358025
ch1_7976-105575-0004.gzip,white,18,88.53333333333333
ch1_7850-281318-0000.gzip,white,18,88.46153846153847
ch1_1462-170142-0038.gzip,pink,12,88.44884488448845
ch1_2078-142845-0007.gzip,pink,12,88.42592592592592
