loss,accuracy
0.5789401,67.660706
0.5266732,69.63264
0.6316837,61.013824
0.6092254,57.37529
0.43946692,78.83638
0.56011003,60.65833
0.59644586,68.02133
0.48238948,72.48262
0.51042384,70.447334
0.4667807,75.072014
0.58607674,69.13236
0.54246795,54.93721
0.52761227,47.782253
0.5726802,75.36838
0.58930534,79.531685
0.4958273,69.43431
0.46335015,74.79693
0.5672071,69.95967
0.42276284,80.13727
0.6974977,61.130806
0.5414727,71.30766
0.5277118,88.04807
0.6805738,48.5656
0.647431,65.676094
0.6530261,73.14815
0.4936972,81.30191
0.49123052,73.77953
0.551087,32.410892
0.6217346,62.68481
0.504376,71.62002
0.55851895,59.693104
0.43029785,80.03358
0.42258722,72.116936
0.3762319,77.0798
0.5380702,74.77392
0.51051646,72.36486
0.56189835,72.624954
0.5914548,75.97576
0.54022443,64.15323
0.6404665,70.87485
0.5016045,62.815567
0.4753111,71.509895
0.45704427,77.517105
0.37748593,83.96992
0.5265306,70.30101
0.53890026,68.31626
0.5094996,75.89023
