base_name,noise,snr,accuracy
ch1_1462-170142-0017.gzip,pink,24,99.30555555555556
ch1_251-137823-0025.gzip,pink,18,98.6842105263158
ch1_1462-170142-0017.gzip,white,24,97.91666666666667
ch1_1462-170142-0017.gzip,pink,18,97.91666666666667
ch1_251-137823-0025.gzip,white,12,97.36842105263158
ch1_251-137823-0025.gzip,office,12,97.36842105263158
ch1_251-137823-0025.gzip,white,6,97.36842105263158
ch1_1462-170142-0017.gzip,white,12,97.22222222222223
ch1_1462-170142-0017.gzip,car80,18,97.22222222222223
ch1_1462-170142-0017.gzip,pink,12,97.22222222222223
ch1_1462-170142-0017.gzip,white,18,97.22222222222223
ch1_251-137823-0025.gzip,pink,12,96.9298245614035
ch1_1462-170142-0017.gzip,car80,24,96.52777777777777
ch1_1462-170142-0017.gzip,office,12,96.52777777777777
ch1_1462-170142-0017.gzip,office,18,96.52777777777777
ch1_251-137823-0025.gzip,white,18,96.49122807017544
ch1_1462-170138-0022.gzip,white,24,96.37305699481865
ch1_1462-170142-0038.gzip,white,12,96.36963696369637
ch1_251-137823-0025.gzip,white,0,96.05263157894737
ch1_1462-170138-0022.gzip,white,12,95.85492227979275
ch1_1462-170138-0022.gzip,office,24,95.85492227979275
ch1_1462-170138-0022.gzip,office,18,95.85492227979275
ch1_1462-170138-0022.gzip,white,18,95.85492227979275
ch1_251-137823-0025.gzip,office,18,95.6140350877193
ch1_251-137823-0025.gzip,pink,6,95.6140350877193
ch1_1462-170138-0022.gzip,pink,24,95.5958549222798
ch1_1462-170138-0022.gzip,office,12,95.5958549222798
ch1_251-137823-0025.gzip,pink,24,95.17543859649123
ch1_1462-170142-0017.gzip,white,6,95.13888888888889
ch1_1462-170142-0017.gzip,office,24,95.13888888888889
ch1_1462-170138-0022.gzip,office,6,95.07772020725389
ch1_1462-170138-0022.gzip,car80,18,94.81865284974093
ch1_251-137823-0025.gzip,office,6,94.73684210526316
ch1_1462-170142-0017.gzip,office,6,94.44444444444444
ch1_1462-170138-0022.gzip,car80,24,94.30051813471502
ch1_1462-170138-0022.gzip,pink,18,94.30051813471502
ch1_1462-170142-0038.gzip,white,18,94.05940594059406
ch1_1462-170142-0017.gzip,car80,12,93.75
ch1_1462-170142-0017.gzip,white,0,93.75
ch1_1462-170142-0038.gzip,pink,24,93.72937293729373
ch1_1462-170138-0022.gzip,white,6,93.52331606217616
ch1_1988-24833-0019.gzip,white,12,93.49112426035504
ch1_1988-24833-0019.gzip,white,6,93.49112426035504
ch1_251-137823-0025.gzip,white,24,93.42105263157895
ch1_1462-170138-0022.gzip,pink,12,93.26424870466322
ch1_1462-170142-0038.gzip,pink,18,93.06930693069307
ch1_1462-170142-0038.gzip,white,6,92.73927392739274
ch1_1993-147965-0000.gzip,white,12,92.67399267399267
ch1_251-137823-0025.gzip,car80,0,92.54385964912281
ch1_1462-170142-0017.gzip,wind,18,92.36111111111111
ch1_1462-170142-0017.gzip,Quiet,0,92.36111111111111
ch1_251-137823-0025.gzip,car80,6,92.10526315789474
ch1_2086-149220-0027.gzip,white,18,92.0754716981132
ch1_1988-24833-0019.gzip,pink,18,91.71597633136095
ch1_1462-170138-0022.gzip,Quiet,0,91.70984455958549
ch1_2086-149220-0027.gzip,pink,24,91.69811320754717
ch1_1462-170142-0017.gzip,office,0,91.66666666666667
ch1_251-137823-0025.gzip,office,24,91.66666666666667
ch1_2428-83699-0018.gzip,pink,12,91.62946428571429
ch1_1993-147965-0000.gzip,pink,18,91.57509157509158
ch1_7850-281318-0000.gzip,white,6,91.53846153846153
ch1_251-137823-0006.gzip,white,18,91.53225806451613
ch1_2428-83699-0018.gzip,white,6,91.51785714285714
ch1_1462-170138-0022.gzip,car80,12,91.45077720207254
ch1_2078-142845-0007.gzip,pink,24,91.28086419753086
ch1_251-137823-0025.gzip,car80,12,91.2280701754386
ch1_2078-142845-0007.gzip,white,18,91.20370370370371
ch1_1462-170138-0022.gzip,white,0,91.19170984455958
ch1_7850-281318-0000.gzip,pink,12,91.15384615384616
ch1_1988-24833-0019.gzip,white,18,91.12426035502959
ch1_1988-24833-0019.gzip,pink,12,91.12426035502959
ch1_1462-170142-0017.gzip,pink,6,90.97222222222223
ch1_1462-170142-0017.gzip,wind,12,90.97222222222223
ch1_2086-149220-0027.gzip,pink,18,90.94339622641509
ch1_7976-105575-0004.gzip,pink,12,90.93333333333334
ch1_251-137823-0025.gzip,office,0,90.78947368421052
ch1_7850-281318-0000.gzip,white,12,90.76923076923077
ch1_1462-170142-0038.gzip,pink,12,90.75907590759076
ch1_1462-170142-0038.gzip,white,24,90.75907590759076
ch1_251-137823-0006.gzip,white,24,90.7258064516129
ch1_2078-142845-0007.gzip,office,12,90.58641975308642
ch1_2086-149220-0027.gzip,white,24,90.56603773584905
ch1_2086-149220-0027.gzip,white,12,90.56603773584905
ch1_2078-142845-0007.gzip,white,24,90.50925925925925
ch1_1993-147965-0000.gzip,pink,12,90.47619047619048
ch1_7850-286674-0002.gzip,pink,6,90.4494382022472
ch1_1462-170138-0022.gzip,office,0,90.41450777202073
ch1_7976-105575-0004.gzip,pink,18,90.4
ch1_7850-281318-0000.gzip,white,18,90.38461538461539
ch1_2078-142845-0007.gzip,office,18,90.35493827160494
ch1_2078-142845-0007.gzip,pink,18,90.20061728395062
ch1_7850-286674-0002.gzip,white,0,90.1685393258427
ch1_1462-170138-0022.gzip,pink,6,90.15544041450777
ch1_1993-147965-0000.gzip,white,18,90.10989010989012
ch1_1988-24833-0019.gzip,office,6,89.94082840236686
ch1_1988-24833-0019.gzip,pink,24,89.94082840236686
ch1_251-137823-0006.gzip,white,12,89.91935483870968
ch1_7976-105575-0004.gzip,office,6,89.86666666666666
ch1_6241-61943-0021.gzip,pink,12,89.80891719745223
ch1_1462-170142-0038.gzip,car80,12,89.76897689768977
ch1_2078-142845-0007.gzip,office,6,89.6604938271605
ch1_7850-281318-0000.gzip,white,24,89.61538461538461
ch1_7976-105575-0004.gzip,office,12,89.6
ch1_7976-105575-0004.gzip,white,12,89.6
ch1_7976-105575-0004.gzip,white,6,89.6
ch1_1462-170142-0017.gzip,wind,6,89.58333333333333
ch1_1462-170142-0017.gzip,wind,24,89.58333333333333
ch1_2078-142845-0007.gzip,white,12,89.58333333333333
ch1_251-137823-0006.gzip,pink,24,89.51612903225806
ch1_2428-83699-0018.gzip,pink,18,89.50892857142857
ch1_2086-149220-0027.gzip,pink,12,89.43396226415095
ch1_1993-147965-0000.gzip,pink,24,89.37728937728937
ch1_1988-24833-0019.gzip,white,24,89.3491124260355
ch1_7976-105575-0004.gzip,white,0,89.33333333333333
ch1_2428-83699-0018.gzip,white,12,89.28571428571429
ch1_5694-64025-0010.gzip,white,18,89.11917098445596
ch1_2086-149220-0027.gzip,white,6,89.05660377358491
ch1_7850-286674-0002.gzip,pink,12,89.04494382022472
ch1_251-137823-0025.gzip,car80,18,89.03508771929825
ch1_1993-147965-0000.gzip,white,6,89.01098901098901
ch1_7850-281318-0000.gzip,pink,18,88.84615384615384
ch1_5694-64025-0010.gzip,white,12,88.82309400444116
ch1_5694-64025-0010.gzip,pink,18,88.74907475943745
ch1_2086-149220-0027.gzip,white,0,88.67924528301887
