loss,accuracy
0.5271819,67.85797
0.46039975,56.007965
0.5756473,45.550434
0.6081009,68.56674
0.40609506,80.39509
0.55019146,61.382484
0.53129107,71.55195
0.4730408,75.83319
0.49794468,61.821064
0.48691761,75.849655
0.6191158,68.76158
0.5337127,61.881317
0.5322501,34.946236
0.5918047,77.260056
0.5498596,80.36678
0.46343523,71.8934
0.42771754,73.7294
0.50302625,73.79033
0.3668698,81.2766
0.66939044,63.618107
0.5080531,70.1214
0.48128033,87.46868
0.6371123,35.649624
0.5527597,73.71851
0.52932227,77.24761
0.48313978,82.01662
0.4475833,76.57409
0.5297704,48.93292
0.56016463,76.91533
0.39800864,79.14493
0.57531905,63.38511
0.40518627,82.240074
0.3783128,75.625
0.3573681,82.66129
0.4927768,76.35308
0.49156782,74.09113
0.5078082,70.050514
0.5323399,80.734276
0.46794364,68.79032
0.59729356,75.65445
0.46503785,68.35554
0.4137408,74.87124
0.38764063,81.19257
0.34237042,77.99326
0.4828635,77.41935
0.43926927,71.24534
0.47985977,81.44114
