base_name,noise,snr,accuracy
ch1_2412-153954-0020.gzip,car80,0,80.72289156626506
ch1_2412-153954-0020.gzip,car80,6,79.51807228915662
ch1_6241-61943-0021.gzip,office,0,78.34394904458598
ch1_2412-153954-0020.gzip,car80,12,77.51004016064257
ch1_2412-153954-0020.gzip,pink,24,77.30923694779116
ch1_6241-61943-0021.gzip,office,6,77.07006369426752
ch1_2412-153954-0020.gzip,pink,18,76.90763052208835
ch1_2412-153954-0020.gzip,car80,18,76.70682730923694
ch1_6241-61943-0021.gzip,pink,24,76.43312101910828
ch1_2412-153954-0020.gzip,car80,24,75.90361445783132
ch1_6241-61943-0021.gzip,white,18,75.79617834394904
ch1_6241-61943-0021.gzip,white,24,75.79617834394904
ch1_777-126732-0060.gzip,office,12,75.65922920892496
ch1_1988-24833-0001.gzip,car80,12,75.45638945233266
ch1_6241-61943-0021.gzip,wind,24,75.1592356687898
ch1_6241-61943-0021.gzip,office,12,75.1592356687898
ch1_777-126732-0060.gzip,Babble,24,75.05070993914808
ch1_777-126732-0060.gzip,white,24,75.05070993914808
ch1_1988-24833-0001.gzip,Babble,24,74.84787018255578
ch1_777-126732-0060.gzip,car80,12,74.84787018255578
ch1_2412-153954-0020.gzip,Babble,18,74.6987951807229
ch1_777-126732-0060.gzip,car80,18,74.64503042596348
ch1_777-126732-0060.gzip,office,6,74.64503042596348
ch1_6241-61943-0021.gzip,Babble,18,74.52229299363057
ch1_777-126732-0060.gzip,Babble,18,74.4421906693712
ch1_2412-153954-0020.gzip,office,12,74.29718875502007
ch1_777-126732-0060.gzip,pink,24,74.2393509127789
ch1_1988-24833-0001.gzip,car80,6,74.2393509127789
ch1_777-126732-0060.gzip,wind,24,74.0365111561866
ch1_1988-24833-0001.gzip,wind,24,74.0365111561866
ch1_777-126732-0060.gzip,car80,24,74.0365111561866
ch1_6241-61943-0021.gzip,Babble,24,73.88535031847134
ch1_6241-61943-0021.gzip,pink,12,73.88535031847134
ch1_6241-61943-0021.gzip,pink,18,73.88535031847134
ch1_777-126732-0060.gzip,white,18,73.83367139959432
ch1_1988-24833-0001.gzip,car80,18,73.63083164300203
ch1_777-126732-0060.gzip,pink,18,73.63083164300203
ch1_2412-153954-0020.gzip,office,18,73.29317269076306
ch1_2412-153954-0020.gzip,Babble,12,73.29317269076306
ch1_2412-153954-0020.gzip,Babble,24,73.29317269076306
ch1_6241-61943-0021.gzip,car80,24,73.2484076433121
ch1_6241-61943-0021.gzip,car80,18,73.2484076433121
ch1_6241-61943-0021.gzip,wind,18,73.2484076433121
ch1_6241-61943-0021.gzip,white,12,73.2484076433121
ch1_6241-61943-0021.gzip,car80,12,73.2484076433121
ch1_1988-24833-0001.gzip,Babble,18,73.22515212981745
ch1_777-126732-0060.gzip,wind,18,73.22515212981745
ch1_2412-153954-0020.gzip,pink,12,73.09236947791165
ch1_777-126732-0060.gzip,office,18,73.02231237322515
ch1_2428-83699-0018.gzip,car80,12,72.99107142857143
ch1_2412-153954-0020.gzip,white,24,72.89156626506023
ch1_1988-24833-0001.gzip,pink,24,72.81947261663286
ch1_2428-83699-0018.gzip,office,18,72.65625
ch1_2428-83699-0018.gzip,car80,18,72.65625
ch1_1988-24833-0001.gzip,wind,18,72.61663286004057
ch1_1988-24833-0001.gzip,car80,24,72.61663286004057
ch1_6241-61943-0021.gzip,car80,6,72.61146496815287
ch1_2412-153954-0020.gzip,wind,24,72.48995983935743
ch1_2428-83699-0018.gzip,car80,6,72.43303571428571
ch1_2412-153954-0020.gzip,white,18,72.28915662650603
ch1_1988-24833-0001.gzip,white,24,72.21095334685599
ch1_777-126732-0060.gzip,office,0,72.21095334685599
ch1_2412-153954-0020.gzip,office,24,72.08835341365462
ch1_777-126732-0060.gzip,office,24,72.00811359026369
ch1_2428-83699-0018.gzip,office,12,71.98660714285714
ch1_2428-83699-0018.gzip,office,24,71.98660714285714
ch1_2428-83699-0018.gzip,car80,24,71.98660714285714
ch1_6241-61943-0021.gzip,office,18,71.97452229299363
ch1_2803-161169-0002.gzip,wind,24,71.89542483660131
ch1_2803-161169-0002.gzip,car80,24,71.89542483660131
ch1_2412-153954-0020.gzip,office,6,71.88755020080322
ch1_6313-66125-0001.gzip,car80,18,71.88612099644128
ch1_6313-66125-0001.gzip,car80,12,71.88612099644128
ch1_2412-153954-0020.gzip,wind,18,71.6867469879518
ch1_2428-83699-0018.gzip,wind,24,71.65178571428571
ch1_6313-66129-0029.gzip,office,6,71.42857142857143
ch1_2428-83699-0018.gzip,Babble,24,71.42857142857143
ch1_6241-61943-0021.gzip,car80,0,71.3375796178344
ch1_6241-61943-0021.gzip,Babble,12,71.3375796178344
ch1_2086-149220-0027.gzip,white,24,71.32075471698113
ch1_2086-149220-0027.gzip,car80,18,71.32075471698113
ch1_2803-161169-0002.gzip,car80,18,71.24183006535948
ch1_2428-83699-0018.gzip,car80,0,71.20535714285714
ch1_6313-66125-0001.gzip,office,12,71.17437722419929
ch1_777-126732-0060.gzip,Babble,12,70.99391480730223
ch1_6313-66129-0029.gzip,office,0,70.97505668934241
ch1_2086-149220-0027.gzip,office,18,70.94339622641509
ch1_2086-149220-0027.gzip,car80,24,70.94339622641509
ch1_2086-149220-0027.gzip,car80,12,70.94339622641509
ch1_2086-149220-0027.gzip,Babble,24,70.94339622641509
ch1_2412-153954-0020.gzip,office,0,70.88353413654619
ch1_6313-66125-0001.gzip,car80,24,70.8185053380783
ch1_6313-66129-0029.gzip,car80,12,70.74829931972789
ch1_777-126732-0060.gzip,car80,6,70.58823529411765
ch1_777-126732-0060.gzip,wind,12,70.58823529411765
ch1_2412-153954-0020.gzip,Babble,6,70.48192771084338
ch1_6313-66125-0001.gzip,office,6,70.4626334519573
ch1_1988-24833-0001.gzip,wind,12,70.18255578093306
ch1_1988-24833-0001.gzip,Babble,12,70.18255578093306
ch1_6313-66125-0001.gzip,car80,6,70.1067615658363
ch1_6313-66125-0001.gzip,office,18,70.1067615658363
ch1_6313-66125-0001.gzip,pink,24,70.1067615658363
ch1_6241-61943-0021.gzip,wind,12,70.06369426751593
ch1_6241-61943-0021.gzip,office,24,70.06369426751593
ch1_1988-24833-0001.gzip,pink,18,69.97971602434077
ch1_2428-83699-0018.gzip,wind,18,69.97767857142857
ch1_2412-153954-0020.gzip,white,12,69.87951807228916
ch1_2086-149220-0027.gzip,pink,24,69.81132075471699
ch1_2086-149220-0027.gzip,office,24,69.81132075471699
ch1_777-126732-0060.gzip,white,12,69.77687626774848
ch1_2428-83699-0018.gzip,office,6,69.75446428571429
ch1_7850-286674-0002.gzip,car80,12,69.66292134831461
ch1_2803-161169-0002.gzip,white,24,69.6078431372549
ch1_2803-161169-0002.gzip,wind,18,69.6078431372549
ch1_777-126732-0060.gzip,car80,0,69.57403651115618
ch1_2428-83699-0018.gzip,pink,24,69.53125
ch1_2086-149220-0027.gzip,wind,24,69.43396226415095
ch1_6313-66129-0029.gzip,car80,6,69.38775510204081
ch1_6313-66129-0029.gzip,office,12,69.38775510204081
ch1_2428-83699-0018.gzip,white,24,69.19642857142857
ch1_2428-83699-0018.gzip,Babble,18,69.19642857142857
ch1_7850-286674-0002.gzip,car80,18,69.10112359550561
ch1_7850-286674-0002.gzip,office,6,69.10112359550561
ch1_2086-149220-0027.gzip,Babble,18,69.05660377358491
ch1_2086-149220-0027.gzip,office,12,69.05660377358491
ch1_6313-66129-0008.gzip,car80,6,68.9873417721519
ch1_1988-24833-0001.gzip,white,18,68.96551724137932
ch1_777-126732-0060.gzip,Quiet,0,68.96551724137932
ch1_6241-61943-0021.gzip,pink,6,68.78980891719745
ch1_6241-61943-0021.gzip,white,6,68.78980891719745
ch1_6313-66129-0029.gzip,pink,18,68.70748299319727
ch1_6313-66125-0001.gzip,pink,18,68.68327402135232
ch1_2412-153954-0020.gzip,Quiet,0,68.67469879518072
ch1_6313-66129-0008.gzip,car80,12,68.67088607594937
ch1_6313-66129-0029.gzip,car80,18,68.48072562358277
ch1_2412-153954-0020.gzip,pink,6,68.47389558232932
ch1_2412-153954-0020.gzip,wind,12,68.47389558232932
ch1_6313-66125-0001.gzip,car80,0,68.32740213523131
ch1_6313-66125-0001.gzip,Babble,24,68.32740213523131
ch1_2803-161169-0002.gzip,Quiet,0,68.30065359477125
ch1_2803-161169-0002.gzip,Babble,24,68.30065359477125
ch1_7850-286674-0002.gzip,car80,6,68.25842696629213
ch1_6313-66129-0029.gzip,Babble,18,68.25396825396825
ch1_6313-66129-0029.gzip,pink,24,68.25396825396825
ch1_6313-66129-0029.gzip,pink,12,68.25396825396825
ch1_777-126732-0060.gzip,wind,6,68.15415821501014
ch1_777-126732-0060.gzip,pink,12,68.15415821501014
ch1_6313-66129-0029.gzip,Babble,12,68.02721088435374
ch1_777-126732-0060.gzip,white,6,67.95131845841784
ch1_6313-66129-0029.gzip,car80,0,67.80045351473923
ch1_7850-286674-0002.gzip,office,0,67.69662921348315
ch1_2412-153954-0020.gzip,wind,6,67.6706827309237
ch1_2803-161169-0002.gzip,white,18,67.6470588235294
ch1_2803-161169-0002.gzip,pink,24,67.6470588235294
ch1_6313-66125-0001.gzip,white,24,67.61565836298932
ch1_6313-66129-0029.gzip,Babble,24,67.57369614512471
ch1_2086-149220-0027.gzip,white,18,67.54716981132076
ch1_1988-24833-0001.gzip,office,12,67.54563894523326
ch1_1988-24833-0001.gzip,office,6,67.54563894523326
ch1_1988-24833-0001.gzip,car80,0,67.54563894523326
ch1_6241-61943-0021.gzip,wind,6,67.51592356687898
ch1_6241-61943-0021.gzip,white,0,67.51592356687898
ch1_1988-24833-0019.gzip,car80,18,67.45562130177515
ch1_6313-66129-0008.gzip,pink,24,67.40506329113924
ch1_6313-66129-0008.gzip,pink,18,67.40506329113924
ch1_1988-24833-0001.gzip,Quiet,0,67.34279918864097
ch1_777-126732-0060.gzip,Babble,6,67.34279918864097
ch1_2803-161169-0002.gzip,car80,12,67.3202614379085
ch1_6313-66125-0001.gzip,pink,12,67.25978647686833
ch1_6313-66125-0001.gzip,Babble,18,67.25978647686833
ch1_2428-83699-0018.gzip,wind,12,67.1875
ch1_2086-149220-0027.gzip,wind,18,67.16981132075472
ch1_2086-149220-0027.gzip,car80,6,67.16981132075472
ch1_777-126732-0060.gzip,pink,6,67.13995943204868
ch1_7850-286674-0002.gzip,office,12,67.13483146067416
ch1_2803-161169-0002.gzip,office,12,66.99346405228758
ch1_6313-66125-0001.gzip,office,0,66.90391459074733
ch1_6241-61943-0021.gzip,Quiet,0,66.87898089171975
ch1_6241-61943-0021.gzip,Babble,6,66.87898089171975
ch1_1988-24833-0019.gzip,wind,24,66.86390532544378
ch1_7850-286674-0002.gzip,car80,24,66.85393258426966
ch1_2086-149220-0027.gzip,office,6,66.79245283018868
ch1_777-126732-0060.gzip,white,0,66.7342799188641
ch1_1988-24833-0001.gzip,office,18,66.7342799188641
ch1_1988-24833-0001.gzip,Babble,6,66.7342799188641
ch1_6313-66129-0029.gzip,wind,18,66.66666666666667
ch1_2412-153954-0020.gzip,wind,0,66.66666666666667
ch1_6313-66125-0001.gzip,Quiet,0,66.54804270462634
ch1_1988-24833-0001.gzip,office,24,66.5314401622718
ch1_777-126732-0060.gzip,pink,0,66.5314401622718
ch1_6313-66129-0008.gzip,office,12,66.45569620253164
ch1_6313-66129-0008.gzip,wind,18,66.45569620253164
ch1_6313-66129-0008.gzip,car80,0,66.45569620253164
ch1_6313-66129-0008.gzip,car80,18,66.45569620253164
ch1_6313-66129-0029.gzip,white,18,66.43990929705215
ch1_6313-66125-0003.gzip,car80,12,66.43356643356644
ch1_7976-105575-0004.gzip,office,6,66.4
ch1_2803-161169-0002.gzip,wind,12,66.33986928104575
ch1_7850-286674-0002.gzip,Babble,18,66.29213483146067
ch1_1988-24833-0019.gzip,Babble,24,66.27218934911242
ch1_1988-24833-0019.gzip,wind,18,66.27218934911242
ch1_1988-24833-0019.gzip,car80,12,66.27218934911242
ch1_6241-61943-0021.gzip,pink,0,66.24203821656052
ch1_6313-66129-0029.gzip,wind,12,66.21315192743764
ch1_6313-66129-0029.gzip,white,24,66.21315192743764
ch1_6313-66129-0008.gzip,office,6,66.13924050632912
ch1_6313-66129-0008.gzip,wind,24,66.13924050632912
ch1_1988-24833-0001.gzip,wind,6,66.12576064908723
ch1_1988-24833-0001.gzip,pink,12,66.12576064908723
ch1_2428-83699-0018.gzip,office,0,66.07142857142857
ch1_2412-153954-0020.gzip,white,6,66.06425702811245
ch1_2803-161169-0002.gzip,Babble,18,66.01307189542484
ch1_2803-161169-0002.gzip,office,18,66.01307189542484
ch1_7850-286674-0002.gzip,pink,24,66.01123595505618
ch1_6313-66129-0029.gzip,wind,24,65.98639455782313
ch1_777-126732-0060.gzip,wind,0,65.92292089249493
ch1_777-126732-0060.gzip,Babble,0,65.92292089249493
ch1_1988-24833-0001.gzip,office,0,65.92292089249493
ch1_6313-66129-0008.gzip,Babble,18,65.82278481012658
ch1_6313-66129-0008.gzip,pink,12,65.82278481012658
ch1_2086-149220-0027.gzip,pink,18,65.66037735849056
ch1_2428-83699-0018.gzip,Babble,12,65.625
ch1_7976-105575-0004.gzip,office,0,65.6
ch1_6313-66129-0008.gzip,wind,12,65.50632911392405
ch1_6313-66129-0008.gzip,Babble,24,65.50632911392405
ch1_6313-66129-0008.gzip,car80,24,65.50632911392405
ch1_7850-286674-0002.gzip,wind,18,65.4494382022472
ch1_7850-286674-0002.gzip,wind,24,65.4494382022472
ch1_7850-286674-0002.gzip,office,18,65.4494382022472
ch1_7850-286674-0002.gzip,pink,18,65.4494382022472
ch1_2803-161169-0002.gzip,office,24,65.359477124183
ch1_2803-161169-0002.gzip,office,6,65.359477124183
ch1_2428-83699-0018.gzip,pink,18,65.29017857142857
ch1_6313-66129-0008.gzip,office,18,65.18987341772151
ch1_2428-83699-0018.gzip,white,18,65.17857142857143
ch1_6313-66125-0001.gzip,wind,24,65.12455516014235
ch1_6313-66125-0001.gzip,office,24,65.12455516014235
ch1_6313-66125-0001.gzip,white,18,65.12455516014235
ch1_6313-66129-0029.gzip,office,18,65.07936507936508
ch1_2803-161169-0002.gzip,pink,18,65.0326797385621
ch1_2803-161169-0002.gzip,car80,6,65.0326797385621
ch1_6241-61943-0021.gzip,Babble,0,64.96815286624204
ch1_7850-286674-0002.gzip,Babble,24,64.88764044943821
ch1_6313-66129-0008.gzip,Babble,12,64.87341772151899
ch1_6313-66129-0029.gzip,car80,24,64.85260770975057
ch1_2803-161169-0014.gzip,office,18,64.78209658421673
ch1_6313-66125-0001.gzip,Babble,12,64.76868327402136
ch1_2803-161169-0002.gzip,white,12,64.70588235294117
ch1_7850-286674-0002.gzip,white,24,64.6067415730337
ch1_6313-66129-0008.gzip,white,24,64.55696202531645
ch1_2086-149220-0027.gzip,Babble,12,64.52830188679245
ch1_1988-24833-0019.gzip,Babble,18,64.49704142011835
ch1_2412-153954-0020.gzip,Babble,0,64.4578313253012
ch1_6313-66129-0029.gzip,white,12,64.39909297052154
ch1_6313-66129-0029.gzip,Babble,6,64.39909297052154
ch1_2428-83699-0018.gzip,Quiet,0,64.39732142857143
ch1_6241-61943-0021.gzip,wind,0,64.3312101910828
ch1_7850-286674-0002.gzip,car80,0,64.32584269662921
ch1_7850-286674-0002.gzip,Babble,12,64.32584269662921
ch1_1988-24833-0001.gzip,white,12,64.3002028397566
ch1_6313-66129-0008.gzip,white,18,64.24050632911393
ch1_2803-161169-0002.gzip,Babble,12,64.05228758169935
ch1_2803-161169-0002.gzip,pink,12,64.05228758169935
ch1_6313-66125-0003.gzip,car80,6,63.98601398601399
ch1_2803-161169-0014.gzip,Babble,24,63.957597173144876
ch1_6313-66129-0029.gzip,Quiet,0,63.945578231292515
ch1_1988-24833-0001.gzip,wind,0,63.894523326572006
ch1_2086-149220-0027.gzip,car80,0,63.77358490566038
ch1_7850-286674-0002.gzip,white,18,63.764044943820224
ch1_2803-161169-0014.gzip,office,24,63.72202591283863
ch1_6313-66125-0001.gzip,wind,18,63.70106761565836
ch1_1988-24833-0001.gzip,Babble,0,63.691683569979716
ch1_6313-66125-0003.gzip,car80,18,63.63636363636363
ch1_2428-83699-0018.gzip,wind,6,63.61607142857143
ch1_6313-66129-0008.gzip,Quiet,0,63.607594936708864
ch1_2803-161169-0014.gzip,office,12,63.60424028268551
ch1_6313-66129-0029.gzip,office,24,63.492063492063494
ch1_7850-286674-0002.gzip,pink,12,63.48314606741573
ch1_7976-105575-0004.gzip,car80,6,63.46666666666667
ch1_7976-105575-0004.gzip,office,12,63.46666666666667
ch1_2412-153954-0020.gzip,pink,0,63.45381526104418
ch1_2803-161169-0002.gzip,wind,6,63.39869281045752
ch1_2803-161169-0002.gzip,car80,0,63.39869281045752
ch1_1988-24833-0019.gzip,Babble,12,63.31360946745562
ch1_1988-24833-0019.gzip,car80,24,63.31360946745562
ch1_6313-66129-0008.gzip,wind,6,63.29113924050633
ch1_6313-66129-0008.gzip,office,0,63.29113924050633
ch1_6313-66125-0003.gzip,pink,18,63.28671328671329
ch1_1988-24833-0001.gzip,pink,6,63.08316430020284
ch1_2803-161169-0002.gzip,white,6,63.071895424836605
ch1_2803-161169-0002.gzip,white,0,63.071895424836605
ch1_2803-161169-0002.gzip,pink,6,63.071895424836605
ch1_6313-66125-0001.gzip,white,12,62.98932384341637
ch1_6313-66129-0008.gzip,office,24,62.9746835443038
ch1_6313-66125-0003.gzip,pink,24,62.93706293706294
ch1_7976-105575-0004.gzip,car80,12,62.93333333333333
ch1_7850-286674-0002.gzip,white,12,62.92134831460674
ch1_2803-161169-0014.gzip,white,24,62.897526501766784
ch1_2412-153954-0020.gzip,white,0,62.85140562248996
ch1_2803-161169-0002.gzip,wind,0,62.745098039215684
ch1_2803-161169-0002.gzip,office,0,62.745098039215684
ch1_1988-24833-0019.gzip,wind,12,62.72189349112426
ch1_6313-66125-0001.gzip,pink,6,62.63345195729537
ch1_2803-161169-0014.gzip,Babble,18,62.54416961130742
ch1_2803-161169-0014.gzip,car80,24,62.4263839811543
ch1_2803-161169-0002.gzip,pink,0,62.41830065359477
ch1_6313-66129-0008.gzip,Babble,6,62.34177215189873
ch1_1988-24833-0001.gzip,white,6,62.27180527383367
ch1_2086-149220-0027.gzip,wind,12,62.264150943396224
ch1_6313-66125-0003.gzip,car80,0,62.23776223776224
ch1_2803-161169-0014.gzip,pink,24,62.19081272084806
ch1_6313-66129-0029.gzip,pink,6,62.131519274376416
ch1_1988-24833-0019.gzip,car80,6,62.1301775147929
ch1_2803-161169-0002.gzip,Babble,6,62.091503267973856
ch1_7850-286674-0002.gzip,wind,12,62.07865168539326
ch1_2803-161169-0014.gzip,office,6,62.073027090694936
ch1_6313-66129-0008.gzip,white,12,62.0253164556962
ch1_6313-66129-0029.gzip,wind,6,61.904761904761905
ch1_2803-161169-0014.gzip,wind,24,61.71967020023557
ch1_2803-161169-0014.gzip,Babble,12,61.60188457008245
ch1_1988-24833-0019.gzip,office,0,61.53846153846154
ch1_1988-24833-0019.gzip,office,6,61.53846153846154
ch1_7850-286674-0002.gzip,office,24,61.51685393258427
ch1_2086-149220-0027.gzip,office,0,61.509433962264154
ch1_2086-149220-0027.gzip,white,12,61.509433962264154
ch1_2803-161169-0002.gzip,Babble,0,61.43790849673203
ch1_6313-66129-0029.gzip,white,6,61.224489795918366
ch1_6313-66125-0001.gzip,white,6,61.20996441281139
ch1_6313-66125-0001.gzip,Babble,6,61.20996441281139
ch1_6313-66125-0003.gzip,office,12,61.18881118881119
ch1_6313-66125-0003.gzip,car80,24,61.18881118881119
ch1_1988-24833-0001.gzip,white,0,61.054766734279916
ch1_1988-24833-0001.gzip,pink,0,61.054766734279916
ch1_7850-286674-0002.gzip,pink,6,60.95505617977528
ch1_1988-24833-0019.gzip,pink,24,60.946745562130175
ch1_2803-161169-0014.gzip,office,0,60.7773851590106
ch1_7850-286674-0002.gzip,Babble,6,60.674157303370784
ch1_2803-161169-0014.gzip,car80,18,60.541813898704355
ch1_6313-66125-0001.gzip,wind,12,60.49822064056939
