loss,accuracy
3.2955441,49.73312
3.2007985,49.85488
2.0347536,43.76856
1.7098527,49.50568
1.274799,65.358
1.3795058,55.273205
0.8597533,63.068325
0.88777983,61.575474
0.6890509,60.2633
0.68543756,73.5455
0.70055336,63.274014
0.70677495,46.491005
0.6696083,38.18548
0.64928293,67.00517
0.74897575,67.70918
0.67173856,66.52642
0.5525157,64.23764
0.6320464,66.766396
0.3852389,78.75772
0.8794854,63.64764
0.6224124,64.20395
0.5960412,77.79126
0.7321355,33.54584
0.6696784,66.75873
0.6494669,70.63919
0.58640265,71.75971
0.5659613,72.76177
0.7058526,38.51318
0.6134789,69.79167
0.4787951,74.87547
0.65928566,52.102108
0.5486719,67.9518
0.5659246,69.79335
0.6656729,76.570465
0.65535873,72.65488
0.6267034,63.243366
0.6325803,48.75487
0.6374631,68.22314
0.6408023,67.84274
