base_name,noise,snr,accuracy
ch1_1462-170142-0017.gzip,white,12,98.61111111111111
ch1_1462-170142-0017.gzip,pink,18,98.61111111111111
ch1_251-137823-0025.gzip,pink,18,98.24561403508773
ch1_1462-170142-0017.gzip,white,18,97.91666666666667
ch1_1462-170142-0017.gzip,white,24,97.91666666666667
ch1_1462-170142-0017.gzip,pink,24,97.91666666666667
ch1_251-137823-0025.gzip,pink,12,97.80701754385964
ch1_251-137823-0025.gzip,white,12,97.80701754385964
ch1_251-137823-0025.gzip,white,6,97.80701754385964
ch1_251-137823-0025.gzip,white,18,97.36842105263158
ch1_1462-170142-0017.gzip,pink,12,97.22222222222223
ch1_1462-170138-0022.gzip,white,18,97.15025906735751
ch1_1462-170138-0022.gzip,pink,24,96.89119170984456
ch1_1462-170142-0017.gzip,white,6,96.52777777777777
ch1_1462-170138-0022.gzip,white,12,96.11398963730569
ch1_251-137823-0025.gzip,pink,24,96.05263157894737
ch1_251-137823-0025.gzip,office,12,96.05263157894737
ch1_251-137823-0025.gzip,office,18,95.6140350877193
ch1_1462-170138-0022.gzip,white,24,95.33678756476684
ch1_1988-24833-0019.gzip,pink,18,95.26627218934911
ch1_1988-24833-0019.gzip,white,12,95.26627218934911
ch1_251-137823-0025.gzip,white,0,95.17543859649123
ch1_251-137823-0025.gzip,pink,6,95.17543859649123
ch1_1462-170142-0017.gzip,office,12,95.13888888888889
ch1_1462-170142-0017.gzip,office,18,95.13888888888889
ch1_1462-170138-0022.gzip,pink,18,94.81865284974093
ch1_251-137823-0025.gzip,office,6,94.73684210526316
ch1_1988-24833-0019.gzip,white,18,94.67455621301775
ch1_1462-170142-0017.gzip,office,6,94.44444444444444
ch1_1462-170142-0017.gzip,office,24,94.44444444444444
ch1_1462-170142-0017.gzip,car80,18,94.44444444444444
ch1_1462-170138-0022.gzip,office,12,94.30051813471502
ch1_1988-24833-0019.gzip,white,6,94.0828402366864
ch1_1462-170138-0022.gzip,pink,12,94.04145077720207
ch1_251-137823-0025.gzip,white,24,93.85964912280701
ch1_1462-170142-0017.gzip,car80,24,93.75
ch1_1462-170138-0022.gzip,white,6,93.52331606217616
ch1_251-137823-0025.gzip,office,24,93.42105263157895
ch1_1462-170138-0022.gzip,office,24,93.26424870466322
ch1_1462-170138-0022.gzip,office,18,93.26424870466322
ch1_7850-281318-0000.gzip,white,6,93.07692307692308
ch1_1462-170142-0038.gzip,pink,18,93.06930693069307
ch1_1462-170142-0038.gzip,white,18,93.06930693069307
