loss,accuracy
0.68092805,64.72499
0.604615,74.61647
0.6446937,56.794674
0.72747755,63.63482
0.47162428,74.40193
0.516825,67.281105
0.53702086,74.62535
0.4762935,78.06096
0.4733295,66.35994
0.46111393,75.446434
0.54160076,65.83241
0.54195404,63.71584
0.56008345,55.416668
0.5592285,73.018715
0.602548,76.371376
0.5017008,73.32398
0.42571148,77.32653
0.5161826,70.701096
0.3953711,82.02471
0.6644921,66.99753
0.4566748,67.832115
0.489549,88.541336
0.6556666,44.919037
0.5514563,69.82987
0.5426732,77.28495
0.48202065,81.630295
0.45044723,77.48835
0.51106095,43.171764
0.5706029,76.83132
0.41496664,80.40797
0.54784864,58.25476
0.40039092,82.53987
0.38626692,74.96976
0.40258202,84.359085
0.4792498,74.77392
0.4760467,75.05669
0.51454616,73.02818
0.5395236,77.38371
0.48910663,67.78226
0.6078826,73.15487
0.4332196,68.671104
0.40292427,74.87125
0.38792464,79.12023
0.34818915,80.90243
0.5184651,67.11442
0.46888265,70.69015
0.5065831,79.912025
